IS_거래수,IS_t통계량,IS_t_raw,IS_손절폭%,IS_손익비중앙,IS_기대값R,IS_승률,IS_PF,IS_수익률,IS_MDD,IS_CAGR,IS_최대연속손실,IS_tf_pair,IS_min_rr,IS_sl_mode,IS_zone_mode,IS_require_mss,IS_min_fvg_atr,IS_tp_target,OOS_거래수,OOS_t통계량,OOS_t_raw,OOS_손절폭%,OOS_손익비중앙,OOS_기대값R,OOS_승률,OOS_PF,OOS_수익률,OOS_MDD,OOS_CAGR,OOS_최대연속손실
84,1.1750983342888097,1.1750983342888097,0.977490176388258,3.092607776835778,0.3251548098366454,32.142857142857146,1.4136008966847982,28.049434169434797,-18.72659136112186,12.036947716183777,8,"['4h', '1h']",1.5,swing,full,False,0.3,range_high,56,2.055349415122494,2.055349415122494,0.9354196153209913,3.374621305208702,0.6352475387372074,39.285714285714285,1.8910165824740337,40.529316210939825,-9.71868554472839,26.4609355851491,5
84,1.1750983342888097,1.1750983342888097,0.977490176388258,3.092607776835778,0.3251548098366454,32.142857142857146,1.4136008966847982,28.049434169434797,-18.72659136112186,12.036947716183777,8,"['4h', '1h']",1.5,wider,full,False,0.3,range_high,56,2.055349415122494,2.055349415122494,0.9354196153209913,3.374621305208702,0.6352475387372074,39.285714285714285,1.8910165824740337,40.529316210939825,-9.71868554472839,26.4609355851491,5
129,1.0350150241838567,1.0350150241838567,0.9227828956559816,3.7510368566400696,0.2174818212315657,29.457364341085274,1.2533428454378248,27.791618061424273,-24.67170247917858,11.933194296756566,11,"['4h', '1h']",1.5,wider,full,False,0.15,range_high,75,1.0102160911916673,1.0102160911916673,0.7600737555321275,3.859758600246868,0.2521472684512307,32.0,1.3033015561738674,18.759112430977076,-15.710773505641939,12.594915494347436,7
129,1.0350150241838567,1.0350150241838567,0.9227828956559816,3.7510368566400696,0.2174818212315657,29.457364341085274,1.2533428454378248,27.791618061424273,-24.67170247917858,11.933194296756566,11,"['4h', '1h']",1.5,swing,full,False,0.15,range_high,75,1.0102160911916673,1.0102160911916673,0.7600737555321275,3.859758600246868,0.2521472684512307,32.0,1.3033015561738674,18.759112430977076,-15.710773505641939,12.594915494347436,7
96,1.0084570324286077,1.0084570324286077,1.0061520873429726,2.962981464892417,0.2508966377970568,31.25,1.312810078145128,23.812052269654373,-19.85456568145405,10.317117394826347,9,"['4h', '1h']",1.5,swing,ce,False,0.3,range_high,59,2.062401477307004,2.062401477307004,0.8995418490059852,3.2396827818438863,0.5916911767869584,40.67796610169492,1.846780931688536,39.69430684259932,-9.71868554472839,25.941993538069518,5
96,1.0084570324286077,1.0084570324286077,1.0061520873429726,2.962981464892417,0.2508966377970568,31.25,1.312810078145128,23.812052269654373,-19.85456568145405,10.317117394826347,9,"['4h', '1h']",1.5,wider,ce,False,0.3,range_high,59,2.062401477307004,2.062401477307004,0.8995418490059852,3.2396827818438863,0.5916911767869584,40.67796610169492,1.846780931688536,39.69430684259932,-9.71868554472839,25.941993538069518,5
42,0.9567913009573042,0.9567913009573042,0.5329655762721713,2.5027409579680704,0.30771435692118554,38.095238095238095,1.3998577920150437,12.76137398724222,-12.982424008236071,5.6763972622527525,9,"['4h', '1h']",1.5,wider,ce,True,0.0,nearest,17,0.9167793773893987,0.9167793773893987,0.2726145559002418,2.311702089908574,0.44684746104148054,47.05882352941176,1.5759759034179974,6.985561952590169,-8.883483868027797,4.769245049161386,6
40,0.9150084484618514,0.9150084484618514,0.5025833910764479,2.5027409579680704,0.3055516773602196,37.5,1.3925243456844458,11.99709035457004,-13.717881534174214,5.346528018840191,11,"['4h', '1h']",1.5,wider,full,True,0.0,nearest,15,0.7659711191131157,0.7659711191131157,0.34585273355270424,2.2728361439021443,0.3862713175305912,46.666666666666664,1.4884309854294069,5.138563712697253,-8.883483868027797,3.5178864049448144,6
79,0.9080513421161085,0.9080513421161085,0.844078694929124,3.900398816783207,0.26537316088260765,29.11392405063291,1.3051726924607219,20.237275186593084,-19.567589317468848,8.841321125853362,9,"['4h', '1h']",2.0,wider,full,False,0.3,range_high,50,2.6465456792883755,2.6465456792883755,0.8947230785789836,3.6512180330977833,0.9413478561116122,44.0,2.4804512381961077,57.367609322808846,-9.71868554472839,36.73127613768461,5
79,0.904760424517907,0.904760424517907,0.844078694929124,3.900398816783207,0.2644644859999554,29.11392405063291,1.303718431327676,20.14993975922208,-19.567589317468848,8.804971266538608,9,"['4h', '1h']",2.0,swing,full,False,0.3,range_high,50,2.6465456792883755,2.6465456792883755,0.8947230785789836,3.6512180330977833,0.9413478561116122,44.0,2.4804512381961077,57.367609322808846,-9.71868554472839,36.73127613768461,5
64,0.9023329835566795,0.9023329835566795,0.6072689119546892,5.008181896217961,0.4475926708532552,21.875,1.4485389069462606,27.221726989922203,-20.335531915183847,11.703449944517574,14,"['4h', '1h']",3.0,swing,full,False,0.3,range_high,41,1.6818220038562952,1.6818220038562952,0.6412040962913603,4.220336129551512,0.717034362595174,34.146341463414636,1.8863354673683859,32.109208322493934,-11.309478366059933,21.182957133782175,7
123,0.8697700672209434,0.8697700672209434,0.8044614651116669,3.9870187353307327,0.19072441536152884,27.64227642276423,1.2059116386333741,22.10639565094319,-23.31562960437935,9.615874085409647,12,"['4h', '1h']",2.0,wider,full,False,0.15,range_high,68,0.8169379930227412,0.8169379930227412,0.7515775657851811,4.081478255367791,0.2208309719498192,29.411764705882355,1.2521157763517128,14.303944671769898,-17.300037306442594,9.663257702996964,7
