구간,검증시작,검증종료,학습_t,학습_거래수,거래수,기대값R,수익률,MDD,PF,승률,단순보유,설정
1,2024-06-12,2024-11-18,2.2183669183129595,182,48,-0.15480783485228344,-9.82386688651008,-22.49066297088641,0.7918749249913338,10.416666666666668,-8.151246550085322,"{""tf_pair"": [""4h"", ""1h""], ""min_rr"": 2.0, ""sl_mode"": ""wider"", ""zone_mode"": ""full"", ""require_sweep"": false, ""require_mss"": true, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 80}"
2,2024-11-18,2025-04-26,2.0293422236059455,76,1,-1.7377763766940568,-1.7377763766940557,-2.5674890977982145,0.0,0.0,-40.947569589778034,"{""tf_pair"": [""1h"", ""15m""], ""min_rr"": 2.0, ""sl_mode"": ""swing"", ""zone_mode"": ""ce"", ""require_sweep"": true, ""require_mss"": false, ""min_fvg_atr"": 0.15, ""tp_target"": ""nearest"", ""fvg_max_age_bars"": 40}"
3,2025-04-26,2025-10-01,2.1401724837942804,308,55,0.552938098473453,31.590350564743154,-17.36779620271296,1.4629113007794141,21.818181818181817,142.6056279061978,"{""tf_pair"": [""1h"", ""15m""], ""min_rr"": 3.0, ""sl_mode"": ""swing"", ""zone_mode"": ""ce"", ""require_sweep"": true, ""require_mss"": false, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40}"
4,2025-10-01,2026-03-09,2.385628628455561,363,65,0.4519974407761908,34.22892370535009,-13.713053615517678,1.4966999014167774,26.153846153846157,-51.92446911196911,"{""tf_pair"": [""1h"", ""15m""], ""min_rr"": 3.0, ""sl_mode"": ""swing"", ""zone_mode"": ""ce"", ""require_sweep"": true, ""require_mss"": false, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40}"
5,2026-03-09,2026-08-15,2.6094176978946373,428,74,-0.09878418972330993,-8.588800009092612,-25.148133820678286,0.8824895923270173,21.62162162162162,-3.303967022009313,"{""tf_pair"": [""1h"", ""15m""], ""min_rr"": 3.0, ""sl_mode"": ""swing"", ""zone_mode"": ""ce"", ""require_sweep"": true, ""require_mss"": false, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40}"
