구간,검증시작,검증종료,학습_t,학습_거래수,거래수,기대값R,수익률,MDD,PF,승률,단순보유,설정
1,2024-06-12,2024-11-18,2.03564417900019,125,39,0.3864197651556093,14.943041525726741,-10.08287471338204,1.4652789579928496,35.8974358974359,34.65313084167785,"{""tf_pair"": [""4h"", ""1h""], ""min_rr"": 1.5, ""sl_mode"": ""wider"", ""zone_mode"": ""full"", ""require_sweep"": false, ""require_mss"": true, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40, ""sl_buffer_atr"": 0.25, ""ltf_swing"": [3, 3]}"
2,2024-11-18,2025-04-26,2.1745625089915,165,37,0.4857295736722211,18.024756247129183,-12.492201239606304,1.5929990733089439,29.72972972972973,5.148475446048906,"{""tf_pair"": [""4h"", ""1h""], ""min_rr"": 1.5, ""sl_mode"": ""wider"", ""zone_mode"": ""full"", ""require_sweep"": false, ""require_mss"": true, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40, ""sl_buffer_atr"": 0.25, ""ltf_swing"": [3, 3]}"
3,2025-04-26,2025-10-01,2.3882184440477636,204,40,0.5373592846932074,21.24634889057113,-22.46084996850699,1.6112776460864413,32.5,24.984714315833866,"{""tf_pair"": [""4h"", ""1h""], ""min_rr"": 1.5, ""sl_mode"": ""wider"", ""zone_mode"": ""full"", ""require_sweep"": false, ""require_mss"": true, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40, ""sl_buffer_atr"": 0.25, ""ltf_swing"": [3, 3]}"
4,2025-10-01,2026-03-09,2.593301742039568,246,47,0.6414454522351326,32.8972736476413,-6.721678152384736,1.901111977402179,34.04255319148936,-40.10859474891843,"{""tf_pair"": [""4h"", ""1h""], ""min_rr"": 1.5, ""sl_mode"": ""wider"", ""zone_mode"": ""full"", ""require_sweep"": false, ""require_mss"": true, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40, ""sl_buffer_atr"": 0.25, ""ltf_swing"": [3, 3]}"
5,2026-03-09,2026-08-15,3.0444655179800746,295,49,0.19701862268416445,8.60252396707153,-14.416169296415438,1.2022095287101466,28.57142857142857,-4.995394456161417,"{""tf_pair"": [""4h"", ""1h""], ""min_rr"": 1.5, ""sl_mode"": ""wider"", ""zone_mode"": ""full"", ""require_sweep"": false, ""require_mss"": true, ""min_fvg_atr"": 0.3, ""tp_target"": ""range_high"", ""fvg_max_age_bars"": 40, ""sl_buffer_atr"": 0.25, ""ltf_swing"": [3, 3]}"
